"","IC","Model","marg","N","J","p_choose"
"147","LOO",4,5,5,1,0.16
"148","DIC",5,5,5,1,0.14
"149","WAIC",5,5,5,1,0.05
"150","LOO",5,5,5,1,0.09
"151","DIC",1,15,5,1,0.2
"152","WAIC",1,15,5,1,0.24
"153","LOO",1,15,5,1,0.24
"154","DIC",2,15,5,1,0.5
"155","WAIC",2,15,5,1,0.46
"156","LOO",2,15,5,1,0.46
"157","DIC",3,15,5,1,0.07
"158","WAIC",3,15,5,1,0.07
"159","LOO",3,15,5,1,0.07
"160","DIC",4,15,5,1,0.05
"161","WAIC",4,15,5,1,0.06
"162","LOO",4,15,5,1,0.06
"163","DIC",5,15,5,1,0.18
"164","WAIC",5,15,5,1,0.17
"165","LOO",5,15,5,1,0.17
"166","DIC",1,45,5,1,0.43
"167","WAIC",1,45,5,1,0.45
"168","LOO",1,45,5,1,0.45
"169","DIC",2,45,5,1,0.31
"170","WAIC",2,45,5,1,0.28
"171","LOO",2,45,5,1,0.27
"172","DIC",3,45,5,1,0.12
"173","WAIC",3,45,5,1,0.13
"174","LOO",3,45,5,1,0.13
"175","DIC",4,45,5,1,0
"176","WAIC",4,45,5,1,0
"177","LOO",4,45,5,1,0
"178","DIC",5,45,5,1,0.14
"179","WAIC",5,45,5,1,0.14
"180","LOO",5,45,5,1,0.15
"181","DIC",1,5,15,1,0.32
"182","WAIC",1,5,15,1,0.36
"183","LOO",1,5,15,1,0.35
"184","DIC",2,5,15,1,0.19
"185","WAIC",2,5,15,1,0.41
"186","LOO",2,5,15,1,0.41
"187","DIC",3,5,15,1,0.29
"188","WAIC",3,5,15,1,0.05
"189","LOO",3,5,15,1,0.05
"190","DIC",4,5,15,1,0.08
"191","WAIC",4,5,15,1,0.08
"192","LOO",4,5,15,1,0.08
"193","DIC",5,5,15,1,0.12
"194","WAIC",5,5,15,1,0.1
"195","LOO",5,5,15,1,0.11
"196","DIC",1,15,15,1,0.56
"197","WAIC",1,15,15,1,0.61
"198","LOO",1,15,15,1,0.59
"199","DIC",2,15,15,1,0.13
"200","WAIC",2,15,15,1,0.11
"201","LOO",2,15,15,1,0.12
"202","DIC",3,15,15,1,0.17
"203","WAIC",3,15,15,1,0.14
"204","LOO",3,15,15,1,0.16
"205","DIC",4,15,15,1,0
"206","WAIC",4,15,15,1,0
"207","LOO",4,15,15,1,0
"208","DIC",5,15,15,1,0.14
"209","WAIC",5,15,15,1,0.14
"210","LOO",5,15,15,1,0.13
"211","DIC",1,45,15,1,0.81
"212","WAIC",1,45,15,1,0.81
"213","LOO",1,45,15,1,0.81
"214","DIC",2,45,15,1,0
"215","WAIC",2,45,15,1,0
"216","LOO",2,45,15,1,0
"217","DIC",3,45,15,1,0.07
"218","WAIC",3,45,15,1,0.08
"219","LOO",3,45,15,1,0.08
"220","DIC",4,45,15,1,0
"221","WAIC",4,45,15,1,0
"222","LOO",4,45,15,1,0
"223","DIC",5,45,15,1,0.12
"224","WAIC",5,45,15,1,0.11
"225","LOO",5,45,15,1,0.11
"226","DIC",1,5,45,1,0.33
"227","WAIC",1,5,45,1,0.52
"228","LOO",1,5,45,1,0.53
"229","DIC",2,5,45,1,0.02
"230","WAIC",2,5,45,1,0.25
"231","LOO",2,5,45,1,0.26
"232","DIC",3,5,45,1,0.51
"233","WAIC",3,5,45,1,0.04
"234","LOO",3,5,45,1,0.05
"235","DIC",4,5,45,1,0
"236","WAIC",4,5,45,1,0
"237","LOO",4,5,45,1,0
"238","DIC",5,5,45,1,0.14
"239","WAIC",5,5,45,1,0.19
"240","LOO",5,5,45,1,0.16
"241","DIC",1,15,45,1,0.66
"242","WAIC",1,15,45,1,0.67
"243","LOO",1,15,45,1,0.68
"244","DIC",2,15,45,1,0
"245","WAIC",2,15,45,1,0
"246","LOO",2,15,45,1,0
"247","DIC",3,15,45,1,0.11
"248","WAIC",3,15,45,1,0.11
"249","LOO",3,15,45,1,0.08
"250","DIC",4,15,45,1,0
"251","WAIC",4,15,45,1,0
"252","LOO",4,15,45,1,0
"253","DIC",5,15,45,1,0.23
"254","WAIC",5,15,45,1,0.22
"255","LOO",5,15,45,1,0.24
"256","DIC",1,45,45,1,0.62
"257","WAIC",1,45,45,1,0.64
"258","LOO",1,45,45,1,0.64
"259","DIC",2,45,45,1,0
"260","WAIC",2,45,45,1,0
"261","LOO",2,45,45,1,0
"262","DIC",3,45,45,1,0.2
"263","WAIC",3,45,45,1,0.2
"264","LOO",3,45,45,1,0.2
"265","DIC",4,45,45,1,0
"266","WAIC",4,45,45,1,0
"267","LOO",4,45,45,1,0
"268","DIC",5,45,45,1,0.18
"269","WAIC",5,45,45,1,0.16
"270","LOO",5,45,45,1,0.16
