"","IC","Model","marg","N","J","p_choose"
"150","LOO",5,5,5,1,0.03
"151","DIC",1,15,5,1,0.23
"152","WAIC",1,15,5,1,0.21
"153","LOO",1,15,5,1,0.21
"154","DIC",2,15,5,1,0.68
"155","WAIC",2,15,5,1,0.71
"156","LOO",2,15,5,1,0.71
"157","DIC",3,15,5,1,0
"158","WAIC",3,15,5,1,0
"159","LOO",3,15,5,1,0
"160","DIC",4,15,5,1,0.06
"161","WAIC",4,15,5,1,0.06
"162","LOO",4,15,5,1,0.06
"163","DIC",5,15,5,1,0.03
"164","WAIC",5,15,5,1,0.02
"165","LOO",5,15,5,1,0.02
"166","DIC",1,45,5,1,0.6
"167","WAIC",1,45,5,1,0.6
"168","LOO",1,45,5,1,0.6
"169","DIC",2,45,5,1,0.38
"170","WAIC",2,45,5,1,0.38
"171","LOO",2,45,5,1,0.38
"172","DIC",3,45,5,1,0
"173","WAIC",3,45,5,1,0
"174","LOO",3,45,5,1,0
"175","DIC",4,45,5,1,0
"176","WAIC",4,45,5,1,0
"177","LOO",4,45,5,1,0
"178","DIC",5,45,5,1,0.02
"179","WAIC",5,45,5,1,0.02
"180","LOO",5,45,5,1,0.02
"181","DIC",1,5,15,1,0.49
"182","WAIC",1,5,15,1,0.4
"183","LOO",1,5,15,1,0.36
"184","DIC",2,5,15,1,0.35
"185","WAIC",2,5,15,1,0.49
"186","LOO",2,5,15,1,0.51
"187","DIC",3,5,15,1,0
"188","WAIC",3,5,15,1,0
"189","LOO",3,5,15,1,0
"190","DIC",4,5,15,1,0.1
"191","WAIC",4,5,15,1,0.09
"192","LOO",4,5,15,1,0.11
"193","DIC",5,5,15,1,0.06
"194","WAIC",5,5,15,1,0.02
"195","LOO",5,5,15,1,0.02
"196","DIC",1,15,15,1,0.76
"197","WAIC",1,15,15,1,0.8
"198","LOO",1,15,15,1,0.81
"199","DIC",2,15,15,1,0.21
"200","WAIC",2,15,15,1,0.18
"201","LOO",2,15,15,1,0.18
"202","DIC",3,15,15,1,0
"203","WAIC",3,15,15,1,0
"204","LOO",3,15,15,1,0
"205","DIC",4,15,15,1,0
"206","WAIC",4,15,15,1,0
"207","LOO",4,15,15,1,0
"208","DIC",5,15,15,1,0.03
"209","WAIC",5,15,15,1,0.02
"210","LOO",5,15,15,1,0.01
"211","DIC",1,45,15,1,0.96
"212","WAIC",1,45,15,1,0.96
"213","LOO",1,45,15,1,0.96
"214","DIC",2,45,15,1,0
"215","WAIC",2,45,15,1,0
"216","LOO",2,45,15,1,0
"217","DIC",3,45,15,1,0
"218","WAIC",3,45,15,1,0
"219","LOO",3,45,15,1,0
"220","DIC",4,45,15,1,0
"221","WAIC",4,45,15,1,0
"222","LOO",4,45,15,1,0
"223","DIC",5,45,15,1,0.04
"224","WAIC",5,45,15,1,0.04
"225","LOO",5,45,15,1,0.04
"226","DIC",1,5,45,1,0.73
"227","WAIC",1,5,45,1,0.67
"228","LOO",1,5,45,1,0.64
"229","DIC",2,5,45,1,0.15
"230","WAIC",2,5,45,1,0.32
"231","LOO",2,5,45,1,0.35
"232","DIC",3,5,45,1,0
"233","WAIC",3,5,45,1,0
"234","LOO",3,5,45,1,0
"235","DIC",4,5,45,1,0
"236","WAIC",4,5,45,1,0
"237","LOO",4,5,45,1,0
"238","DIC",5,5,45,1,0.12
"239","WAIC",5,5,45,1,0.01
"240","LOO",5,5,45,1,0.01
"241","DIC",1,15,45,1,0.96
"242","WAIC",1,15,45,1,0.93
"243","LOO",1,15,45,1,0.93
"244","DIC",2,15,45,1,0.01
"245","WAIC",2,15,45,1,0.01
"246","LOO",2,15,45,1,0.01
"247","DIC",3,15,45,1,0
"248","WAIC",3,15,45,1,0
"249","LOO",3,15,45,1,0
"250","DIC",4,15,45,1,0
"251","WAIC",4,15,45,1,0
"252","LOO",4,15,45,1,0
"253","DIC",5,15,45,1,0.03
"254","WAIC",5,15,45,1,0.06
"255","LOO",5,15,45,1,0.06
"256","DIC",1,45,45,1,1
"257","WAIC",1,45,45,1,1
"258","LOO",1,45,45,1,1
"259","DIC",2,45,45,1,0
"260","WAIC",2,45,45,1,0
"261","LOO",2,45,45,1,0
"262","DIC",3,45,45,1,0
"263","WAIC",3,45,45,1,0
"264","LOO",3,45,45,1,0
"265","DIC",4,45,45,1,0
"266","WAIC",4,45,45,1,0
"267","LOO",4,45,45,1,0
"268","DIC",5,45,45,1,0
"269","WAIC",5,45,45,1,0
"270","LOO",5,45,45,1,0
