"","IC","Model","N","J","TAU0","TAU1","G10","G20","p_choose"
"85","DIC",4,70,50,0.04,0.04,0.2,0.2,0
"86","WAIC",4,70,50,0.04,0.04,0.2,0.2,0
"87","LOO",4,70,50,0.04,0.04,0.2,0.2,0
"88","DIC",5,70,50,0.04,0.04,0.2,0.2,0.26
"89","WAIC",5,70,50,0.04,0.04,0.2,0.2,0.19
"90","LOO",5,70,50,0.04,0.04,0.2,0.2,0.2
"91","DIC",1,20,100,0.04,0.04,0.2,0.2,0.49
"92","WAIC",1,20,100,0.04,0.04,0.2,0.2,0.62
"93","LOO",1,20,100,0.04,0.04,0.2,0.2,0.63
"94","DIC",2,20,100,0.04,0.04,0.2,0.2,0
"95","WAIC",2,20,100,0.04,0.04,0.2,0.2,0
"96","LOO",2,20,100,0.04,0.04,0.2,0.2,0
"97","DIC",3,20,100,0.04,0.04,0.2,0.2,0.25
"98","WAIC",3,20,100,0.04,0.04,0.2,0.2,0.17
"99","LOO",3,20,100,0.04,0.04,0.2,0.2,0.15
"100","DIC",4,20,100,0.04,0.04,0.2,0.2,0
"101","WAIC",4,20,100,0.04,0.04,0.2,0.2,0
"102","LOO",4,20,100,0.04,0.04,0.2,0.2,0
"103","DIC",5,20,100,0.04,0.04,0.2,0.2,0.26
"104","WAIC",5,20,100,0.04,0.04,0.2,0.2,0.21
"105","LOO",5,20,100,0.04,0.04,0.2,0.2,0.22
"106","DIC",1,50,100,0.04,0.04,0.2,0.2,0.43
"107","WAIC",1,50,100,0.04,0.04,0.2,0.2,0.63
"108","LOO",1,50,100,0.04,0.04,0.2,0.2,0.64
"109","DIC",2,50,100,0.04,0.04,0.2,0.2,0
"110","WAIC",2,50,100,0.04,0.04,0.2,0.2,0
"111","LOO",2,50,100,0.04,0.04,0.2,0.2,0
"112","DIC",3,50,100,0.04,0.04,0.2,0.2,0.32
"113","WAIC",3,50,100,0.04,0.04,0.2,0.2,0.17
"114","LOO",3,50,100,0.04,0.04,0.2,0.2,0.16
"115","DIC",4,50,100,0.04,0.04,0.2,0.2,0
"116","WAIC",4,50,100,0.04,0.04,0.2,0.2,0
"117","LOO",4,50,100,0.04,0.04,0.2,0.2,0
"118","DIC",5,50,100,0.04,0.04,0.2,0.2,0.25
"119","WAIC",5,50,100,0.04,0.04,0.2,0.2,0.2
"120","LOO",5,50,100,0.04,0.04,0.2,0.2,0.2
"121","DIC",1,70,100,0.04,0.04,0.2,0.2,0.52
"122","WAIC",1,70,100,0.04,0.04,0.2,0.2,0.66
"123","LOO",1,70,100,0.04,0.04,0.2,0.2,0.71
"124","DIC",2,70,100,0.04,0.04,0.2,0.2,0
"125","WAIC",2,70,100,0.04,0.04,0.2,0.2,0
"126","LOO",2,70,100,0.04,0.04,0.2,0.2,0
"127","DIC",3,70,100,0.04,0.04,0.2,0.2,0.23
"128","WAIC",3,70,100,0.04,0.04,0.2,0.2,0.17
"129","LOO",3,70,100,0.04,0.04,0.2,0.2,0.13
"130","DIC",4,70,100,0.04,0.04,0.2,0.2,0
"131","WAIC",4,70,100,0.04,0.04,0.2,0.2,0
"132","LOO",4,70,100,0.04,0.04,0.2,0.2,0
"133","DIC",5,70,100,0.04,0.04,0.2,0.2,0.25
"134","WAIC",5,70,100,0.04,0.04,0.2,0.2,0.17
"135","LOO",5,70,100,0.04,0.04,0.2,0.2,0.16
"136","DIC",1,20,10,0.16,0.04,0.2,0.2,0.32
"137","WAIC",1,20,10,0.16,0.04,0.2,0.2,0.34
"138","LOO",1,20,10,0.16,0.04,0.2,0.2,0.33
"139","DIC",2,20,10,0.16,0.04,0.2,0.2,0.26
"140","WAIC",2,20,10,0.16,0.04,0.2,0.2,0.32
"141","LOO",2,20,10,0.16,0.04,0.2,0.2,0.37
"142","DIC",3,20,10,0.16,0.04,0.2,0.2,0.24
"143","WAIC",3,20,10,0.16,0.04,0.2,0.2,0.14
"144","LOO",3,20,10,0.16,0.04,0.2,0.2,0.12
"145","DIC",4,20,10,0.16,0.04,0.2,0.2,0.01
"146","WAIC",4,20,10,0.16,0.04,0.2,0.2,0.02
"147","LOO",4,20,10,0.16,0.04,0.2,0.2,0.02
"148","DIC",5,20,10,0.16,0.04,0.2,0.2,0.17
"149","WAIC",5,20,10,0.16,0.04,0.2,0.2,0.18
"150","LOO",5,20,10,0.16,0.04,0.2,0.2,0.16
"151","DIC",1,50,10,0.16,0.04,0.2,0.2,0.48
"152","WAIC",1,50,10,0.16,0.04,0.2,0.2,0.51
"153","LOO",1,50,10,0.16,0.04,0.2,0.2,0.53
"154","DIC",2,50,10,0.16,0.04,0.2,0.2,0.09
"155","WAIC",2,50,10,0.16,0.04,0.2,0.2,0.12
"156","LOO",2,50,10,0.16,0.04,0.2,0.2,0.19
"157","DIC",3,50,10,0.16,0.04,0.2,0.2,0.29
"158","WAIC",3,50,10,0.16,0.04,0.2,0.2,0.19
"159","LOO",3,50,10,0.16,0.04,0.2,0.2,0.11
"160","DIC",4,50,10,0.16,0.04,0.2,0.2,0
"161","WAIC",4,50,10,0.16,0.04,0.2,0.2,0
"162","LOO",4,50,10,0.16,0.04,0.2,0.2,0
"163","DIC",5,50,10,0.16,0.04,0.2,0.2,0.14
"164","WAIC",5,50,10,0.16,0.04,0.2,0.2,0.18
"165","LOO",5,50,10,0.16,0.04,0.2,0.2,0.17
"166","DIC",1,70,10,0.16,0.04,0.2,0.2,0.42
"167","WAIC",1,70,10,0.16,0.04,0.2,0.2,0.41
"168","LOO",1,70,10,0.16,0.04,0.2,0.2,0.42
"169","DIC",2,70,10,0.16,0.04,0.2,0.2,0.1
"170","WAIC",2,70,10,0.16,0.04,0.2,0.2,0.13
"171","LOO",2,70,10,0.16,0.04,0.2,0.2,0.19
"172","DIC",3,70,10,0.16,0.04,0.2,0.2,0.34
"173","WAIC",3,70,10,0.16,0.04,0.2,0.2,0.3
"174","LOO",3,70,10,0.16,0.04,0.2,0.2,0.22
"175","DIC",4,70,10,0.16,0.04,0.2,0.2,0
"176","WAIC",4,70,10,0.16,0.04,0.2,0.2,0
"177","LOO",4,70,10,0.16,0.04,0.2,0.2,0
"178","DIC",5,70,10,0.16,0.04,0.2,0.2,0.14
"179","WAIC",5,70,10,0.16,0.04,0.2,0.2,0.16
"180","LOO",5,70,10,0.16,0.04,0.2,0.2,0.17
"181","DIC",1,20,50,0.16,0.04,0.2,0.2,0.53
"182","WAIC",1,20,50,0.16,0.04,0.2,0.2,0.66
"183","LOO",1,20,50,0.16,0.04,0.2,0.2,0.66
"184","DIC",2,20,50,0.16,0.04,0.2,0.2,0.01
"185","WAIC",2,20,50,0.16,0.04,0.2,0.2,0.01
"186","LOO",2,20,50,0.16,0.04,0.2,0.2,0.01
"187","DIC",3,20,50,0.16,0.04,0.2,0.2,0.3
"188","WAIC",3,20,50,0.16,0.04,0.2,0.2,0.17
"189","LOO",3,20,50,0.16,0.04,0.2,0.2,0.17
"190","DIC",4,20,50,0.16,0.04,0.2,0.2,0
"191","WAIC",4,20,50,0.16,0.04,0.2,0.2,0
"192","LOO",4,20,50,0.16,0.04,0.2,0.2,0
"193","DIC",5,20,50,0.16,0.04,0.2,0.2,0.16
"194","WAIC",5,20,50,0.16,0.04,0.2,0.2,0.16
"195","LOO",5,20,50,0.16,0.04,0.2,0.2,0.16
"196","DIC",1,50,50,0.16,0.04,0.2,0.2,0.45
"197","WAIC",1,50,50,0.16,0.04,0.2,0.2,0.71
"198","LOO",1,50,50,0.16,0.04,0.2,0.2,0.72
"199","DIC",2,50,50,0.16,0.04,0.2,0.2,0
"200","WAIC",2,50,50,0.16,0.04,0.2,0.2,0
"201","LOO",2,50,50,0.16,0.04,0.2,0.2,0
"202","DIC",3,50,50,0.16,0.04,0.2,0.2,0.33
"203","WAIC",3,50,50,0.16,0.04,0.2,0.2,0.17
"204","LOO",3,50,50,0.16,0.04,0.2,0.2,0.16
"205","DIC",4,50,50,0.16,0.04,0.2,0.2,0
"206","WAIC",4,50,50,0.16,0.04,0.2,0.2,0
"207","LOO",4,50,50,0.16,0.04,0.2,0.2,0
"208","DIC",5,50,50,0.16,0.04,0.2,0.2,0.22
"209","WAIC",5,50,50,0.16,0.04,0.2,0.2,0.12
"210","LOO",5,50,50,0.16,0.04,0.2,0.2,0.12
"211","DIC",1,70,50,0.16,0.04,0.2,0.2,0.5
"212","WAIC",1,70,50,0.16,0.04,0.2,0.2,0.63
"213","LOO",1,70,50,0.16,0.04,0.2,0.2,0.65
"214","DIC",2,70,50,0.16,0.04,0.2,0.2,0
"215","WAIC",2,70,50,0.16,0.04,0.2,0.2,0
"216","LOO",2,70,50,0.16,0.04,0.2,0.2,0
"217","DIC",3,70,50,0.16,0.04,0.2,0.2,0.25
"218","WAIC",3,70,50,0.16,0.04,0.2,0.2,0.22
"219","LOO",3,70,50,0.16,0.04,0.2,0.2,0.2
"220","DIC",4,70,50,0.16,0.04,0.2,0.2,0
"221","WAIC",4,70,50,0.16,0.04,0.2,0.2,0
"222","LOO",4,70,50,0.16,0.04,0.2,0.2,0
"223","DIC",5,70,50,0.16,0.04,0.2,0.2,0.25
"224","WAIC",5,70,50,0.16,0.04,0.2,0.2,0.15
"225","LOO",5,70,50,0.16,0.04,0.2,0.2,0.15
"226","DIC",1,20,100,0.16,0.04,0.2,0.2,0.52
"227","WAIC",1,20,100,0.16,0.04,0.2,0.2,0.76
"228","LOO",1,20,100,0.16,0.04,0.2,0.2,0.77
"229","DIC",2,20,100,0.16,0.04,0.2,0.2,0
"230","WAIC",2,20,100,0.16,0.04,0.2,0.2,0
"231","LOO",2,20,100,0.16,0.04,0.2,0.2,0
"232","DIC",3,20,100,0.16,0.04,0.2,0.2,0.24
"233","WAIC",3,20,100,0.16,0.04,0.2,0.2,0.11
