"","iter","G00","G10","G20","TAU0","TAU1","RHO","SIGMA","g00","g10","g20","tau0","tau1","rho","sigma","dgam","dtau","dsig","drho","dtot"
"1",1,-3.52848691069565,-22.899999565853,2.42033336567663,0.383112843067212,1.63041058615532,0.379940901417285,1.05556630624234,-3.53107706630357,-22.9001425033124,2.42188129584795,0.376341005405895,1.51109464343086,0.386727933874362,1.05503706297975,0.00428102323862012,0.126087780385776,0.000529243262589629,0.00678703245707674,0.137685079344063
"2",2,-11.531607248098,-5.40384813736963,1.25798664057554,1.52552509829938,1.00262012010397,0.36351335849613,1.07968232618778,-11.555303020279,-5.41248483812141,1.25881817633494,1.52828084559946,1.01253686516263,0.366936068807588,1.07752326494828,0.0331640086921856,0.0126724923587302,0.00215906123950149,0.00342271031145891,0.0514182726018763
"3",3,-1.37855356815909,-3.62032224349907,-8.88148512676043,1.07399444022948,0.538053967639388,0.383626574277878,2.53030691770912,-1.39997967321914,-3.62058569115719,-8.88198145851804,1.08911770509567,0.560863984893754,0.374837081454139,2.53249380276751,0.022185884475787,0.037933282120558,0.00218688505839548,0.00878949282373837,0.0710955444784788
"4",4,-1.32771673645507,-11.1241854158134,-1.6316437179754,0.903525534730264,0.924944451981591,0.262474079430103,1.41630295994452,-1.30948573417231,-11.1800090324056,-1.63078568669312,0.884580954900679,0.922029467495311,0.282797810470983,1.41572653715383,0.0749126501572952,0.0218595643158662,0.000576422790692588,0.0203237310408792,0.117672368304733
"5",5,8.78764035577799,-2.4606773848611,9.91884846515078,0.928950723807139,1.35231811110342,0.090055104997009,0.235736183383085,8.80531778333119,-2.40999574306971,9.91878189000233,0.974432119562302,1.35360721956743,0.0805283943620125,0.235940674821954,0.0684256444930211,0.0467705042191722,0.000204491438868526,0.00952671063499652,0.124927350786058
"6",6,-5.37115569217779,19.0224228250714,-6.65333056118531,2.10645812523495,1.37926511612287,0.0780984113924205,1.09312714483569,-5.4219034942588,19.086688219404,-6.65428584429287,2.15788875720861,1.38430499502254,0.0917366331946617,1.09223779740929,0.115968479521225,0.0564705108733228,0.00088934742639224,0.0136382218022412,0.186966559623181
"7",7,-7.1163042199071,15.8205830267749,3.37223382620642,0.329252857897544,2.32335436546739,0.357365764211863,1.90870189991,-7.10203182384923,15.8243971860495,3.37164472242252,0.357891712952807,2.37041495149358,0.323575976321934,1.90878734895589,0.0186756591164432,0.0756994410814583,8.54490458916946e-05,0.0337897878899294,0.128250337133723
"8",8,-7.19545749389026,-13.135863375797,-5.70996059597492,0.415566881887959,0.471626894228182,0.395486827380955,1.24389869068949,-7.24240280648764,-13.1570137256783,-5.7114774387632,0.423496021289368,0.4753657847864,0.422074010768567,1.24494351746145,0.0696125052669032,0.0116680299596276,0.00104482677196449,0.0265871833876114,0.108912545386107
"9",9,-6.27466316676545,9.66862775491071,8.64445640304439,1.78938804594538,1.30722334129656,0.374631219822913,0.904541189335773,-6.26674701681911,9.61208459080079,8.64384397037549,1.67018114184703,1.31978057513368,0.338614882988709,0.905833290481494,0.0650717467251685,0.131764137935475,0.00129210114572109,0.0360163368342047,0.234144322640569
"10",10,-16.1092232554819,-1.59805067070624,5.56569862689311,0.6964307781748,0.301582988448098,0.0635544126853347,1.14940603395683,-16.0972027623177,-1.57887104647854,5.56528016314776,0.682374435755979,0.305606457295563,0.133314751000124,1.1497127016082,0.0316185811372049,0.018079811266286,0.00030666765136611,0.0697603383147894,0.119765398369646
"11",11,-10.8189661833081,-7.45668504879482,-5.26110542200943,1.18109375531378,0.438752628563192,0.116614863090217,1.7544349457658,-10.8546188869207,-7.42812300529309,-5.26115576082588,1.2190234919643,0.441645561542038,0.125560539610262,1.75646079935813,0.0642650859307228,0.0408226696293612,0.00202585359232876,0.00894567652004519,0.116059285672458
"12",12,4.16471613990585,-15.4112651353544,-16.3720833436252,2.40691530540044,2.54207092737094,0.0296509412117302,0.380894617327114,4.23390227398022,-15.4950484653423,-16.3720465146679,2.44179625405689,2.68115870365031,0.0519411451109046,0.381706363031497,0.153006293019676,0.173968724935816,0.000811745704382361,0.0222902038991744,0.350076967559048
"13",13,10.7843258188304,10.4791332055141,10.5992594813905,0.451871617699711,0.868929932329277,0.316463636420667,1.08689561035666,10.7937794967618,10.4861997576213,10.5995586936527,0.440337771344355,0.941761340811442,0.303915632451737,1.08599458474639,0.0168194423008874,0.0843652548375208,0.000901025610266837,0.0125480039689304,0.114633726717605
