"","IC","Model","marg","N","J","TAU0","TAU1","G10","G20","p_choose"
"1","DIC",1,20,10,0.04,0.04,0.2,0.2,0,0.4
"2","WAIC",1,20,10,0.04,0.04,0.2,0.2,0,0.36
"3","LOO",1,20,10,0.04,0.04,0.2,0.2,0,0.33
"4","DIC",2,20,10,0.04,0.04,0.2,0.2,0,0.52
"5","WAIC",2,20,10,0.04,0.04,0.2,0.2,0,0.58
"6","LOO",2,20,10,0.04,0.04,0.2,0.2,0,0.62
"7","DIC",3,20,10,0.04,0.04,0.2,0.2,0,0.03
"8","WAIC",3,20,10,0.04,0.04,0.2,0.2,0,0
"9","LOO",3,20,10,0.04,0.04,0.2,0.2,0,0
"10","DIC",4,20,10,0.04,0.04,0.2,0.2,0,0.02
"11","WAIC",4,20,10,0.04,0.04,0.2,0.2,0,0.01
"12","LOO",4,20,10,0.04,0.04,0.2,0.2,0,0.01
"13","DIC",5,20,10,0.04,0.04,0.2,0.2,0,0.03
"14","WAIC",5,20,10,0.04,0.04,0.2,0.2,0,0.05
"15","LOO",5,20,10,0.04,0.04,0.2,0.2,0,0.04
"16","DIC",1,50,10,0.04,0.04,0.2,0.2,0,0.56
"17","WAIC",1,50,10,0.04,0.04,0.2,0.2,0,0.59
"18","LOO",1,50,10,0.04,0.04,0.2,0.2,0,0.55
"19","DIC",2,50,10,0.04,0.04,0.2,0.2,0,0.37
"20","WAIC",2,50,10,0.04,0.04,0.2,0.2,0,0.39
"21","LOO",2,50,10,0.04,0.04,0.2,0.2,0,0.43
"22","DIC",3,50,10,0.04,0.04,0.2,0.2,0,0.01
"23","WAIC",3,50,10,0.04,0.04,0.2,0.2,0,0
"24","LOO",3,50,10,0.04,0.04,0.2,0.2,0,0
"25","DIC",4,50,10,0.04,0.04,0.2,0.2,0,0
"26","WAIC",4,50,10,0.04,0.04,0.2,0.2,0,0
"27","LOO",4,50,10,0.04,0.04,0.2,0.2,0,0
"28","DIC",5,50,10,0.04,0.04,0.2,0.2,0,0.06
"29","WAIC",5,50,10,0.04,0.04,0.2,0.2,0,0.02
"30","LOO",5,50,10,0.04,0.04,0.2,0.2,0,0.02
"31","DIC",1,70,10,0.04,0.04,0.2,0.2,0,0.68
"32","WAIC",1,70,10,0.04,0.04,0.2,0.2,0,0.73
"33","LOO",1,70,10,0.04,0.04,0.2,0.2,0,0.73
"34","DIC",2,70,10,0.04,0.04,0.2,0.2,0,0.22
"35","WAIC",2,70,10,0.04,0.04,0.2,0.2,0,0.22
"36","LOO",2,70,10,0.04,0.04,0.2,0.2,0,0.23
"37","DIC",3,70,10,0.04,0.04,0.2,0.2,0,0
"38","WAIC",3,70,10,0.04,0.04,0.2,0.2,0,0
"39","LOO",3,70,10,0.04,0.04,0.2,0.2,0,0
"40","DIC",4,70,10,0.04,0.04,0.2,0.2,0,0
"41","WAIC",4,70,10,0.04,0.04,0.2,0.2,0,0
"42","LOO",4,70,10,0.04,0.04,0.2,0.2,0,0
"43","DIC",5,70,10,0.04,0.04,0.2,0.2,0,0.1
"44","WAIC",5,70,10,0.04,0.04,0.2,0.2,0,0.05
"45","LOO",5,70,10,0.04,0.04,0.2,0.2,0,0.04
"46","DIC",1,20,50,0.04,0.04,0.2,0.2,0,0.91
"47","WAIC",1,20,50,0.04,0.04,0.2,0.2,0,0.98
"48","LOO",1,20,50,0.04,0.04,0.2,0.2,0,0.98
"49","DIC",2,20,50,0.04,0.04,0.2,0.2,0,0.01
"50","WAIC",2,20,50,0.04,0.04,0.2,0.2,0,0.01
"51","LOO",2,20,50,0.04,0.04,0.2,0.2,0,0.01
"52","DIC",3,20,50,0.04,0.04,0.2,0.2,0,0
"53","WAIC",3,20,50,0.04,0.04,0.2,0.2,0,0
"54","LOO",3,20,50,0.04,0.04,0.2,0.2,0,0
"55","DIC",4,20,50,0.04,0.04,0.2,0.2,0,0
"56","WAIC",4,20,50,0.04,0.04,0.2,0.2,0,0
"57","LOO",4,20,50,0.04,0.04,0.2,0.2,0,0
"58","DIC",5,20,50,0.04,0.04,0.2,0.2,0,0.08
"59","WAIC",5,20,50,0.04,0.04,0.2,0.2,0,0.01
"60","LOO",5,20,50,0.04,0.04,0.2,0.2,0,0.01
"61","DIC",1,50,50,0.04,0.04,0.2,0.2,0,0.82
"62","WAIC",1,50,50,0.04,0.04,0.2,0.2,0,0.93
"63","LOO",1,50,50,0.04,0.04,0.2,0.2,0,0.94
"64","DIC",2,50,50,0.04,0.04,0.2,0.2,0,0
"65","WAIC",2,50,50,0.04,0.04,0.2,0.2,0,0
"66","LOO",2,50,50,0.04,0.04,0.2,0.2,0,0
"67","DIC",3,50,50,0.04,0.04,0.2,0.2,0,0
"68","WAIC",3,50,50,0.04,0.04,0.2,0.2,0,0
"69","LOO",3,50,50,0.04,0.04,0.2,0.2,0,0
"70","DIC",4,50,50,0.04,0.04,0.2,0.2,0,0
"71","WAIC",4,50,50,0.04,0.04,0.2,0.2,0,0
"72","LOO",4,50,50,0.04,0.04,0.2,0.2,0,0
"73","DIC",5,50,50,0.04,0.04,0.2,0.2,0,0.18
"74","WAIC",5,50,50,0.04,0.04,0.2,0.2,0,0.07
"75","LOO",5,50,50,0.04,0.04,0.2,0.2,0,0.06
"76","DIC",1,70,50,0.04,0.04,0.2,0.2,0,0.81
"77","WAIC",1,70,50,0.04,0.04,0.2,0.2,0,0.93
"78","LOO",1,70,50,0.04,0.04,0.2,0.2,0,0.94
"79","DIC",2,70,50,0.04,0.04,0.2,0.2,0,0
"80","WAIC",2,70,50,0.04,0.04,0.2,0.2,0,0
"81","LOO",2,70,50,0.04,0.04,0.2,0.2,0,0
"82","DIC",3,70,50,0.04,0.04,0.2,0.2,0,0.02
"83","WAIC",3,70,50,0.04,0.04,0.2,0.2,0,0
"84","LOO",3,70,50,0.04,0.04,0.2,0.2,0,0
"85","DIC",4,70,50,0.04,0.04,0.2,0.2,0,0
"86","WAIC",4,70,50,0.04,0.04,0.2,0.2,0,0
"87","LOO",4,70,50,0.04,0.04,0.2,0.2,0,0
"88","DIC",5,70,50,0.04,0.04,0.2,0.2,0,0.17
"89","WAIC",5,70,50,0.04,0.04,0.2,0.2,0,0.07
"90","LOO",5,70,50,0.04,0.04,0.2,0.2,0,0.06
"91","DIC",1,20,100,0.04,0.04,0.2,0.2,0,0.82
"92","WAIC",1,20,100,0.04,0.04,0.2,0.2,0,0.96
"93","LOO",1,20,100,0.04,0.04,0.2,0.2,0,0.96
"94","DIC",2,20,100,0.04,0.04,0.2,0.2,0,0
"95","WAIC",2,20,100,0.04,0.04,0.2,0.2,0,0
"96","LOO",2,20,100,0.04,0.04,0.2,0.2,0,0
