"","IC","Model","marg","N","J","TAU0","TAU1","G10","G20","p_choose"
"80","WAIC",2,70,50,0.04,0.04,0.2,0.2,0,0
"81","LOO",2,70,50,0.04,0.04,0.2,0.2,0,0
"82","DIC",3,70,50,0.04,0.04,0.2,0.2,0,0.25
"83","WAIC",3,70,50,0.04,0.04,0.2,0.2,0,0.19
"84","LOO",3,70,50,0.04,0.04,0.2,0.2,0,0.19
"85","DIC",4,70,50,0.04,0.04,0.2,0.2,0,0
"86","WAIC",4,70,50,0.04,0.04,0.2,0.2,0,0
"87","LOO",4,70,50,0.04,0.04,0.2,0.2,0,0
"88","DIC",5,70,50,0.04,0.04,0.2,0.2,0,0.32
"89","WAIC",5,70,50,0.04,0.04,0.2,0.2,0,0.14
"90","LOO",5,70,50,0.04,0.04,0.2,0.2,0,0.14
"91","DIC",1,20,100,0.04,0.04,0.2,0.2,0,0.5
"92","WAIC",1,20,100,0.04,0.04,0.2,0.2,0,0.64
"93","LOO",1,20,100,0.04,0.04,0.2,0.2,0,0.65
"94","DIC",2,20,100,0.04,0.04,0.2,0.2,0,0
"95","WAIC",2,20,100,0.04,0.04,0.2,0.2,0,0
"96","LOO",2,20,100,0.04,0.04,0.2,0.2,0,0
"97","DIC",3,20,100,0.04,0.04,0.2,0.2,0,0.28
"98","WAIC",3,20,100,0.04,0.04,0.2,0.2,0,0.17
"99","LOO",3,20,100,0.04,0.04,0.2,0.2,0,0.16
"100","DIC",4,20,100,0.04,0.04,0.2,0.2,0,0
"101","WAIC",4,20,100,0.04,0.04,0.2,0.2,0,0
"102","LOO",4,20,100,0.04,0.04,0.2,0.2,0,0
"103","DIC",5,20,100,0.04,0.04,0.2,0.2,0,0.22
"104","WAIC",5,20,100,0.04,0.04,0.2,0.2,0,0.19
"105","LOO",5,20,100,0.04,0.04,0.2,0.2,0,0.19
"106","DIC",1,50,100,0.04,0.04,0.2,0.2,0,0.44
"107","WAIC",1,50,100,0.04,0.04,0.2,0.2,0,0.63
"108","LOO",1,50,100,0.04,0.04,0.2,0.2,0,0.66
"109","DIC",2,50,100,0.04,0.04,0.2,0.2,0,0
"110","WAIC",2,50,100,0.04,0.04,0.2,0.2,0,0
"111","LOO",2,50,100,0.04,0.04,0.2,0.2,0,0
"112","DIC",3,50,100,0.04,0.04,0.2,0.2,0,0.36
"113","WAIC",3,50,100,0.04,0.04,0.2,0.2,0,0.18
"114","LOO",3,50,100,0.04,0.04,0.2,0.2,0,0.16
"115","DIC",4,50,100,0.04,0.04,0.2,0.2,0,0
"116","WAIC",4,50,100,0.04,0.04,0.2,0.2,0,0
"117","LOO",4,50,100,0.04,0.04,0.2,0.2,0,0
"118","DIC",5,50,100,0.04,0.04,0.2,0.2,0,0.2
"119","WAIC",5,50,100,0.04,0.04,0.2,0.2,0,0.19
"120","LOO",5,50,100,0.04,0.04,0.2,0.2,0,0.18
"121","DIC",1,70,100,0.04,0.04,0.2,0.2,0,0.4
"122","WAIC",1,70,100,0.04,0.04,0.2,0.2,0,0.7
"123","LOO",1,70,100,0.04,0.04,0.2,0.2,0,0.71
"124","DIC",2,70,100,0.04,0.04,0.2,0.2,0,0
"125","WAIC",2,70,100,0.04,0.04,0.2,0.2,0,0
"126","LOO",2,70,100,0.04,0.04,0.2,0.2,0,0
"127","DIC",3,70,100,0.04,0.04,0.2,0.2,0,0.28
"128","WAIC",3,70,100,0.04,0.04,0.2,0.2,0,0.15
"129","LOO",3,70,100,0.04,0.04,0.2,0.2,0,0.14
"130","DIC",4,70,100,0.04,0.04,0.2,0.2,0,0
"131","WAIC",4,70,100,0.04,0.04,0.2,0.2,0,0
"132","LOO",4,70,100,0.04,0.04,0.2,0.2,0,0
"133","DIC",5,70,100,0.04,0.04,0.2,0.2,0,0.32
"134","WAIC",5,70,100,0.04,0.04,0.2,0.2,0,0.15
"135","LOO",5,70,100,0.04,0.04,0.2,0.2,0,0.15
"136","DIC",1,20,10,0.16,0.04,0.2,0.2,0,0.37
"137","WAIC",1,20,10,0.16,0.04,0.2,0.2,0,0.34
"138","LOO",1,20,10,0.16,0.04,0.2,0.2,0,0.32
"139","DIC",2,20,10,0.16,0.04,0.2,0.2,0,0.3
"140","WAIC",2,20,10,0.16,0.04,0.2,0.2,0,0.33
"141","LOO",2,20,10,0.16,0.04,0.2,0.2,0,0.4
"142","DIC",3,20,10,0.16,0.04,0.2,0.2,0,0.17
"143","WAIC",3,20,10,0.16,0.04,0.2,0.2,0,0.17
"144","LOO",3,20,10,0.16,0.04,0.2,0.2,0,0.12
"145","DIC",4,20,10,0.16,0.04,0.2,0.2,0,0.03
"146","WAIC",4,20,10,0.16,0.04,0.2,0.2,0,0.04
"147","LOO",4,20,10,0.16,0.04,0.2,0.2,0,0.04
"148","DIC",5,20,10,0.16,0.04,0.2,0.2,0,0.13
"149","WAIC",5,20,10,0.16,0.04,0.2,0.2,0,0.12
"150","LOO",5,20,10,0.16,0.04,0.2,0.2,0,0.12
"151","DIC",1,50,10,0.16,0.04,0.2,0.2,0,0.43
"152","WAIC",1,50,10,0.16,0.04,0.2,0.2,0,0.47
"153","LOO",1,50,10,0.16,0.04,0.2,0.2,0,0.48
"154","DIC",2,50,10,0.16,0.04,0.2,0.2,0,0.24
"155","WAIC",2,50,10,0.16,0.04,0.2,0.2,0,0.27
"156","LOO",2,50,10,0.16,0.04,0.2,0.2,0,0.32
"157","DIC",3,50,10,0.16,0.04,0.2,0.2,0,0.18
"158","WAIC",3,50,10,0.16,0.04,0.2,0.2,0,0.13
"159","LOO",3,50,10,0.16,0.04,0.2,0.2,0,0.08
"160","DIC",4,50,10,0.16,0.04,0.2,0.2,0,0
"161","WAIC",4,50,10,0.16,0.04,0.2,0.2,0,0
"162","LOO",4,50,10,0.16,0.04,0.2,0.2,0,0
"163","DIC",5,50,10,0.16,0.04,0.2,0.2,0,0.15
"164","WAIC",5,50,10,0.16,0.04,0.2,0.2,0,0.13
"165","LOO",5,50,10,0.16,0.04,0.2,0.2,0,0.12
"166","DIC",1,70,10,0.16,0.04,0.2,0.2,0,0.38
"167","WAIC",1,70,10,0.16,0.04,0.2,0.2,0,0.54
"168","LOO",1,70,10,0.16,0.04,0.2,0.2,0,0.52
"169","DIC",2,70,10,0.16,0.04,0.2,0.2,0,0.09
"170","WAIC",2,70,10,0.16,0.04,0.2,0.2,0,0.07
"171","LOO",2,70,10,0.16,0.04,0.2,0.2,0,0.14
"172","DIC",3,70,10,0.16,0.04,0.2,0.2,0,0.32
"173","WAIC",3,70,10,0.16,0.04,0.2,0.2,0,0.23
"174","LOO",3,70,10,0.16,0.04,0.2,0.2,0,0.18
"175","DIC",4,70,10,0.16,0.04,0.2,0.2,0,0
"176","WAIC",4,70,10,0.16,0.04,0.2,0.2,0,0
"177","LOO",4,70,10,0.16,0.04,0.2,0.2,0,0
"178","DIC",5,70,10,0.16,0.04,0.2,0.2,0,0.21
"179","WAIC",5,70,10,0.16,0.04,0.2,0.2,0,0.16
"180","LOO",5,70,10,0.16,0.04,0.2,0.2,0,0.16
"181","DIC",1,20,50,0.16,0.04,0.2,0.2,0,0.49
"182","WAIC",1,20,50,0.16,0.04,0.2,0.2,0,0.64
