"","IC","Model","marg","N","J","TAU0","TAU1","G10","G20","p_choose"
"82","DIC",3,70,50,0.04,0.04,0.2,0.2,0,0.02
"83","WAIC",3,70,50,0.04,0.04,0.2,0.2,0,0
"84","LOO",3,70,50,0.04,0.04,0.2,0.2,0,0
"85","DIC",4,70,50,0.04,0.04,0.2,0.2,0,0
"86","WAIC",4,70,50,0.04,0.04,0.2,0.2,0,0
"87","LOO",4,70,50,0.04,0.04,0.2,0.2,0,0
"88","DIC",5,70,50,0.04,0.04,0.2,0.2,0,0.02
"89","WAIC",5,70,50,0.04,0.04,0.2,0.2,0,0
"90","LOO",5,70,50,0.04,0.04,0.2,0.2,0,0
"91","DIC",1,20,100,0.04,0.04,0.2,0.2,0,0.95
"92","WAIC",1,20,100,0.04,0.04,0.2,0.2,0,0
"93","LOO",1,20,100,0.04,0.04,0.2,0.2,0,0
"94","DIC",2,20,100,0.04,0.04,0.2,0.2,0,0.01
"95","WAIC",2,20,100,0.04,0.04,0.2,0.2,0,1
"96","LOO",2,20,100,0.04,0.04,0.2,0.2,0,1
"97","DIC",3,20,100,0.04,0.04,0.2,0.2,0,0.01
"98","WAIC",3,20,100,0.04,0.04,0.2,0.2,0,0
"99","LOO",3,20,100,0.04,0.04,0.2,0.2,0,0
"100","DIC",4,20,100,0.04,0.04,0.2,0.2,0,0
"101","WAIC",4,20,100,0.04,0.04,0.2,0.2,0,0
"102","LOO",4,20,100,0.04,0.04,0.2,0.2,0,0
"103","DIC",5,20,100,0.04,0.04,0.2,0.2,0,0.03
"104","WAIC",5,20,100,0.04,0.04,0.2,0.2,0,0
"105","LOO",5,20,100,0.04,0.04,0.2,0.2,0,0
"106","DIC",1,50,100,0.04,0.04,0.2,0.2,0,0.96
"107","WAIC",1,50,100,0.04,0.04,0.2,0.2,0,0
"108","LOO",1,50,100,0.04,0.04,0.2,0.2,0,0
"109","DIC",2,50,100,0.04,0.04,0.2,0.2,0,0
"110","WAIC",2,50,100,0.04,0.04,0.2,0.2,0,1
"111","LOO",2,50,100,0.04,0.04,0.2,0.2,0,1
"112","DIC",3,50,100,0.04,0.04,0.2,0.2,0,0
"113","WAIC",3,50,100,0.04,0.04,0.2,0.2,0,0
"114","LOO",3,50,100,0.04,0.04,0.2,0.2,0,0
"115","DIC",4,50,100,0.04,0.04,0.2,0.2,0,0
"116","WAIC",4,50,100,0.04,0.04,0.2,0.2,0,0
"117","LOO",4,50,100,0.04,0.04,0.2,0.2,0,0
"118","DIC",5,50,100,0.04,0.04,0.2,0.2,0,0.04
"119","WAIC",5,50,100,0.04,0.04,0.2,0.2,0,0
"120","LOO",5,50,100,0.04,0.04,0.2,0.2,0,0
"121","DIC",1,70,100,0.04,0.04,0.2,0.2,0,0.94
"122","WAIC",1,70,100,0.04,0.04,0.2,0.2,0,0
"123","LOO",1,70,100,0.04,0.04,0.2,0.2,0,0
"124","DIC",2,70,100,0.04,0.04,0.2,0.2,0,0
"125","WAIC",2,70,100,0.04,0.04,0.2,0.2,0,0.99
"126","LOO",2,70,100,0.04,0.04,0.2,0.2,0,0.99
"127","DIC",3,70,100,0.04,0.04,0.2,0.2,0,0.02
"128","WAIC",3,70,100,0.04,0.04,0.2,0.2,0,0
"129","LOO",3,70,100,0.04,0.04,0.2,0.2,0,0
"130","DIC",4,70,100,0.04,0.04,0.2,0.2,0,0
"131","WAIC",4,70,100,0.04,0.04,0.2,0.2,0,0.01
"132","LOO",4,70,100,0.04,0.04,0.2,0.2,0,0.01
"133","DIC",5,70,100,0.04,0.04,0.2,0.2,0,0.04
"134","WAIC",5,70,100,0.04,0.04,0.2,0.2,0,0
"135","LOO",5,70,100,0.04,0.04,0.2,0.2,0,0
"136","DIC",1,20,10,0.16,0.04,0.2,0.2,0,0.15
"137","WAIC",1,20,10,0.16,0.04,0.2,0.2,0,0
"138","LOO",1,20,10,0.16,0.04,0.2,0.2,0,0
"139","DIC",2,20,10,0.16,0.04,0.2,0.2,0,0.74
"140","WAIC",2,20,10,0.16,0.04,0.2,0.2,0,1
"141","LOO",2,20,10,0.16,0.04,0.2,0.2,0,1
"142","DIC",3,20,10,0.16,0.04,0.2,0.2,0,0.03
"143","WAIC",3,20,10,0.16,0.04,0.2,0.2,0,0
"144","LOO",3,20,10,0.16,0.04,0.2,0.2,0,0
"145","DIC",4,20,10,0.16,0.04,0.2,0.2,0,0.07
"146","WAIC",4,20,10,0.16,0.04,0.2,0.2,0,0
"147","LOO",4,20,10,0.16,0.04,0.2,0.2,0,0
"148","DIC",5,20,10,0.16,0.04,0.2,0.2,0,0.01
"149","WAIC",5,20,10,0.16,0.04,0.2,0.2,0,0
"150","LOO",5,20,10,0.16,0.04,0.2,0.2,0,0
"151","DIC",1,50,10,0.16,0.04,0.2,0.2,0,0.43
"152","WAIC",1,50,10,0.16,0.04,0.2,0.2,0,0
"153","LOO",1,50,10,0.16,0.04,0.2,0.2,0,0
"154","DIC",2,50,10,0.16,0.04,0.2,0.2,0,0.55
"155","WAIC",2,50,10,0.16,0.04,0.2,0.2,0,1
"156","LOO",2,50,10,0.16,0.04,0.2,0.2,0,1
"157","DIC",3,50,10,0.16,0.04,0.2,0.2,0,0.01
"158","WAIC",3,50,10,0.16,0.04,0.2,0.2,0,0
"159","LOO",3,50,10,0.16,0.04,0.2,0.2,0,0
"160","DIC",4,50,10,0.16,0.04,0.2,0.2,0,0
"161","WAIC",4,50,10,0.16,0.04,0.2,0.2,0,0
"162","LOO",4,50,10,0.16,0.04,0.2,0.2,0,0
"163","DIC",5,50,10,0.16,0.04,0.2,0.2,0,0.01
"164","WAIC",5,50,10,0.16,0.04,0.2,0.2,0,0
"165","LOO",5,50,10,0.16,0.04,0.2,0.2,0,0
"166","DIC",1,70,10,0.16,0.04,0.2,0.2,0,0.7
"167","WAIC",1,70,10,0.16,0.04,0.2,0.2,0,0
"168","LOO",1,70,10,0.16,0.04,0.2,0.2,0,0
"169","DIC",2,70,10,0.16,0.04,0.2,0.2,0,0.28
"170","WAIC",2,70,10,0.16,0.04,0.2,0.2,0,1
"171","LOO",2,70,10,0.16,0.04,0.2,0.2,0,1
"172","DIC",3,70,10,0.16,0.04,0.2,0.2,0,0.02
"173","WAIC",3,70,10,0.16,0.04,0.2,0.2,0,0
"174","LOO",3,70,10,0.16,0.04,0.2,0.2,0,0
"175","DIC",4,70,10,0.16,0.04,0.2,0.2,0,0
"176","WAIC",4,70,10,0.16,0.04,0.2,0.2,0,0
"177","LOO",4,70,10,0.16,0.04,0.2,0.2,0,0
"178","DIC",5,70,10,0.16,0.04,0.2,0.2,0,0
"179","WAIC",5,70,10,0.16,0.04,0.2,0.2,0,0
"180","LOO",5,70,10,0.16,0.04,0.2,0.2,0,0
"181","DIC",1,20,50,0.16,0.04,0.2,0.2,0,0.98
"182","WAIC",1,20,50,0.16,0.04,0.2,0.2,0,0
"183","LOO",1,20,50,0.16,0.04,0.2,0.2,0,0
"184","DIC",2,20,50,0.16,0.04,0.2,0.2,0,0.01
"185","WAIC",2,20,50,0.16,0.04,0.2,0.2,0,1
"186","LOO",2,20,50,0.16,0.04,0.2,0.2,0,1
"187","DIC",3,20,50,0.16,0.04,0.2,0.2,0,0
"188","WAIC",3,20,50,0.16,0.04,0.2,0.2,0,0
"189","LOO",3,20,50,0.16,0.04,0.2,0.2,0,0
"190","DIC",4,20,50,0.16,0.04,0.2,0.2,0,0
"191","WAIC",4,20,50,0.16,0.04,0.2,0.2,0,0
"192","LOO",4,20,50,0.16,0.04,0.2,0.2,0,0
"193","DIC",5,20,50,0.16,0.04,0.2,0.2,0,0.01
"194","WAIC",5,20,50,0.16,0.04,0.2,0.2,0,0
"195","LOO",5,20,50,0.16,0.04,0.2,0.2,0,0
"196","DIC",1,50,50,0.16,0.04,0.2,0.2,0,0.99
"197","WAIC",1,50,50,0.16,0.04,0.2,0.2,0,0
"198","LOO",1,50,50,0.16,0.04,0.2,0.2,0,0
"199","DIC",2,50,50,0.16,0.04,0.2,0.2,0,0
"200","WAIC",2,50,50,0.16,0.04,0.2,0.2,0,1
"201","LOO",2,50,50,0.16,0.04,0.2,0.2,0,1
"202","DIC",3,50,50,0.16,0.04,0.2,0.2,0,0
"203","WAIC",3,50,50,0.16,0.04,0.2,0.2,0,0
"204","LOO",3,50,50,0.16,0.04,0.2,0.2,0,0
"205","DIC",4,50,50,0.16,0.04,0.2,0.2,0,0
"206","WAIC",4,50,50,0.16,0.04,0.2,0.2,0,0
"207","LOO",4,50,50,0.16,0.04,0.2,0.2,0,0
"208","DIC",5,50,50,0.16,0.04,0.2,0.2,0,0.01
"209","WAIC",5,50,50,0.16,0.04,0.2,0.2,0,0
"210","LOO",5,50,50,0.16,0.04,0.2,0.2,0,0
"211","DIC",1,70,50,0.16,0.04,0.2,0.2,0,0.98
"212","WAIC",1,70,50,0.16,0.04,0.2,0.2,0,0
"213","LOO",1,70,50,0.16,0.04,0.2,0.2,0,0
"214","DIC",2,70,50,0.16,0.04,0.2,0.2,0,0
"215","WAIC",2,70,50,0.16,0.04,0.2,0.2,0,1
"216","LOO",2,70,50,0.16,0.04,0.2,0.2,0,1
"217","DIC",3,70,50,0.16,0.04,0.2,0.2,0,0.02
"218","WAIC",3,70,50,0.16,0.04,0.2,0.2,0,0
"219","LOO",3,70,50,0.16,0.04,0.2,0.2,0,0
"220","DIC",4,70,50,0.16,0.04,0.2,0.2,0,0
"221","WAIC",4,70,50,0.16,0.04,0.2,0.2,0,0
"222","LOO",4,70,50,0.16,0.04,0.2,0.2,0,0
"223","DIC",5,70,50,0.16,0.04,0.2,0.2,0,0
"224","WAIC",5,70,50,0.16,0.04,0.2,0.2,0,0
"225","LOO",5,70,50,0.16,0.04,0.2,0.2,0,0
"226","DIC",1,20,100,0.16,0.04,0.2,0.2,0,0.96
"227","WAIC",1,20,100,0.16,0.04,0.2,0.2,0,0
"228","LOO",1,20,100,0.16,0.04,0.2,0.2,0,0
"229","DIC",2,20,100,0.16,0.04,0.2,0.2,0,0.01
"230","WAIC",2,20,100,0.16,0.04,0.2,0.2,0,1
"231","LOO",2,20,100,0.16,0.04,0.2,0.2,0,1
"232","DIC",3,20,100,0.16,0.04,0.2,0.2,0,0.02
"233","WAIC",3,20,100,0.16,0.04,0.2,0.2,0,0
"234","LOO",3,20,100,0.16,0.04,0.2,0.2,0,0
"235","DIC",4,20,100,0.16,0.04,0.2,0.2,0,0
"236","WAIC",4,20,100,0.16,0.04,0.2,0.2,0,0
"237","LOO",4,20,100,0.16,0.04,0.2,0.2,0,0
"238","DIC",5,20,100,0.16,0.04,0.2,0.2,0,0.01
"239","WAIC",5,20,100,0.16,0.04,0.2,0.2,0,0
"240","LOO",5,20,100,0.16,0.04,0.2,0.2,0,0
"241","DIC",1,50,100,0.16,0.04,0.2,0.2,0,0.97
"242","WAIC",1,50,100,0.16,0.04,0.2,0.2,0,0
"243","LOO",1,50,100,0.16,0.04,0.2,0.2,0,0
"244","DIC",2,50,100,0.16,0.04,0.2,0.2,0,0
"245","WAIC",2,50,100,0.16,0.04,0.2,0.2,0,1
"246","LOO",2,50,100,0.16,0.04,0.2,0.2,0,1
"247","DIC",3,50,100,0.16,0.04,0.2,0.2,0,0.01
"248","WAIC",3,50,100,0.16,0.04,0.2,0.2,0,0
"249","LOO",3,50,100,0.16,0.04,0.2,0.2,0,0
"250","DIC",4,50,100,0.16,0.04,0.2,0.2,0,0
"251","WAIC",4,50,100,0.16,0.04,0.2,0.2,0,0
"252","LOO",4,50,100,0.16,0.04,0.2,0.2,0,0
"253","DIC",5,50,100,0.16,0.04,0.2,0.2,0,0.02
"254","WAIC",5,50,100,0.16,0.04,0.2,0.2,0,0
"255","LOO",5,50,100,0.16,0.04,0.2,0.2,0,0
"256","DIC",1,70,100,0.16,0.04,0.2,0.2,0,0.92
"257","WAIC",1,70,100,0.16,0.04,0.2,0.2,0,0
"258","LOO",1,70,100,0.16,0.04,0.2,0.2,0,0
"259","DIC",2,70,100,0.16,0.04,0.2,0.2,0,0
"260","WAIC",2,70,100,0.16,0.04,0.2,0.2,0,0.97
"261","LOO",2,70,100,0.16,0.04,0.2,0.2,0,0.97
"262","DIC",3,70,100,0.16,0.04,0.2,0.2,0,0.02
"263","WAIC",3,70,100,0.16,0.04,0.2,0.2,0,0
"264","LOO",3,70,100,0.16,0.04,0.2,0.2,0,0
"265","DIC",4,70,100,0.16,0.04,0.2,0.2,0,0
"266","WAIC",4,70,100,0.16,0.04,0.2,0.2,0,0.03
"267","LOO",4,70,100,0.16,0.04,0.2,0.2,0,0.03
"268","DIC",5,70,100,0.16,0.04,0.2,0.2,0,0.06
"269","WAIC",5,70,100,0.16,0.04,0.2,0.2,0,0
"270","LOO",5,70,100,0.16,0.04,0.2,0.2,0,0
"271","DIC",1,20,10,0.04,0.16,0.2,0.2,0,0.54
"272","WAIC",1,20,10,0.04,0.16,0.2,0.2,0,0
"273","LOO",1,20,10,0.04,0.16,0.2,0.2,0,0
"274","DIC",2,20,10,0.04,0.16,0.2,0.2,0,0.17
"275","WAIC",2,20,10,0.04,0.16,0.2,0.2,0,1
"276","LOO",2,20,10,0.04,0.16,0.2,0.2,0,1
"277","DIC",3,20,10,0.04,0.16,0.2,0.2,0,0.05
"278","WAIC",3,20,10,0.04,0.16,0.2,0.2,0,0
"279","LOO",3,20,10,0.04,0.16,0.2,0.2,0,0
"280","DIC",4,20,10,0.04,0.16,0.2,0.2,0,0.24
"281","WAIC",4,20,10,0.04,0.16,0.2,0.2,0,0
"282","LOO",4,20,10,0.04,0.16,0.2,0.2,0,0
"283","DIC",5,20,10,0.04,0.16,0.2,0.2,0,0
"284","WAIC",5,20,10,0.04,0.16,0.2,0.2,0,0
"285","LOO",5,20,10,0.04,0.16,0.2,0.2,0,0
"286","DIC",1,50,10,0.04,0.16,0.2,0.2,0,0.96
"287","WAIC",1,50,10,0.04,0.16,0.2,0.2,0,0
"288","LOO",1,50,10,0.04,0.16,0.2,0.2,0,0
"289","DIC",2,50,10,0.04,0.16,0.2,0.2,0,0.01
"290","WAIC",2,50,10,0.04,0.16,0.2,0.2,0,1
"291","LOO",2,50,10,0.04,0.16,0.2,0.2,0,1
"292","DIC",3,50,10,0.04,0.16,0.2,0.2,0,0.02
"293","WAIC",3,50,10,0.04,0.16,0.2,0.2,0,0
"294","LOO",3,50,10,0.04,0.16,0.2,0.2,0,0
"295","DIC",4,50,10,0.04,0.16,0.2,0.2,0,0
"296","WAIC",4,50,10,0.04,0.16,0.2,0.2,0,0
"297","LOO",4,50,10,0.04,0.16,0.2,0.2,0,0
"298","DIC",5,50,10,0.04,0.16,0.2,0.2,0,0.01
"299","WAIC",5,50,10,0.04,0.16,0.2,0.2,0,0
"300","LOO",5,50,10,0.04,0.16,0.2,0.2,0,0
"301","DIC",1,70,10,0.04,0.16,0.2,0.2,0,0.99
"302","WAIC",1,70,10,0.04,0.16,0.2,0.2,0,0
"303","LOO",1,70,10,0.04,0.16,0.2,0.2,0,0
"304","DIC",2,70,10,0.04,0.16,0.2,0.2,0,0
"305","WAIC",2,70,10,0.04,0.16,0.2,0.2,0,0.95
"306","LOO",2,70,10,0.04,0.16,0.2,0.2,0,0.97
"307","DIC",3,70,10,0.04,0.16,0.2,0.2,0,0.01
"308","WAIC",3,70,10,0.04,0.16,0.2,0.2,0,0
"309","LOO",3,70,10,0.04,0.16,0.2,0.2,0,0
"310","DIC",4,70,10,0.04,0.16,0.2,0.2,0,0
"311","WAIC",4,70,10,0.04,0.16,0.2,0.2,0,0.05
"312","LOO",4,70,10,0.04,0.16,0.2,0.2,0,0.03
"313","DIC",5,70,10,0.04,0.16,0.2,0.2,0,0
"314","WAIC",5,70,10,0.04,0.16,0.2,0.2,0,0
"315","LOO",5,70,10,0.04,0.16,0.2,0.2,0,0
"316","DIC",1,20,50,0.04,0.16,0.2,0.2,0,1
"317","WAIC",1,20,50,0.04,0.16,0.2,0.2,0,0
"318","LOO",1,20,50,0.04,0.16,0.2,0.2,0,0
"319","DIC",2,20,50,0.04,0.16,0.2,0.2,0,0
"320","WAIC",2,20,50,0.04,0.16,0.2,0.2,0,0.61
"321","LOO",2,20,50,0.04,0.16,0.2,0.2,0,0.61
"322","DIC",3,20,50,0.04,0.16,0.2,0.2,0,0
"323","WAIC",3,20,50,0.04,0.16,0.2,0.2,0,0
"324","LOO",3,20,50,0.04,0.16,0.2,0.2,0,0
"325","DIC",4,20,50,0.04,0.16,0.2,0.2,0,0
"326","WAIC",4,20,50,0.04,0.16,0.2,0.2,0,0.39
"327","LOO",4,20,50,0.04,0.16,0.2,0.2,0,0.39
"328","DIC",5,20,50,0.04,0.16,0.2,0.2,0,0
"329","WAIC",5,20,50,0.04,0.16,0.2,0.2,0,0
"330","LOO",5,20,50,0.04,0.16,0.2,0.2,0,0
"331","DIC",1,50,50,0.04,0.16,0.2,0.2,0,0.99
"332","WAIC",1,50,50,0.04,0.16,0.2,0.2,0,0
"333","LOO",1,50,50,0.04,0.16,0.2,0.2,0,0
"334","DIC",2,50,50,0.04,0.16,0.2,0.2,0,0
"335","WAIC",2,50,50,0.04,0.16,0.2,0.2,0,0.02
"336","LOO",2,50,50,0.04,0.16,0.2,0.2,0,0.02
"337","DIC",3,50,50,0.04,0.16,0.2,0.2,0,0
"338","WAIC",3,50,50,0.04,0.16,0.2,0.2,0,0
"339","LOO",3,50,50,0.04,0.16,0.2,0.2,0,0
"340","DIC",4,50,50,0.04,0.16,0.2,0.2,0,0
"341","WAIC",4,50,50,0.04,0.16,0.2,0.2,0,0.98
"342","LOO",4,50,50,0.04,0.16,0.2,0.2,0,0.98
"343","DIC",5,50,50,0.04,0.16,0.2,0.2,0,0.01
"344","WAIC",5,50,50,0.04,0.16,0.2,0.2,0,0
"345","LOO",5,50,50,0.04,0.16,0.2,0.2,0,0
"346","DIC",1,70,50,0.04,0.16,0.2,0.2,0,0.96
"347","WAIC",1,70,50,0.04,0.16,0.2,0.2,0,0
"348","LOO",1,70,50,0.04,0.16,0.2,0.2,0,0
"349","DIC",2,70,50,0.04,0.16,0.2,0.2,0,0
"350","WAIC",2,70,50,0.04,0.16,0.2,0.2,0,0
"351","LOO",2,70,50,0.04,0.16,0.2,0.2,0,0
"352","DIC",3,70,50,0.04,0.16,0.2,0.2,0,0.02
"353","WAIC",3,70,50,0.04,0.16,0.2,0.2,0,0
"354","LOO",3,70,50,0.04,0.16,0.2,0.2,0,0
"355","DIC",4,70,50,0.04,0.16,0.2,0.2,0,0
"356","WAIC",4,70,50,0.04,0.16,0.2,0.2,0,1
"357","LOO",4,70,50,0.04,0.16,0.2,0.2,0,1
"358","DIC",5,70,50,0.04,0.16,0.2,0.2,0,0.02
"359","WAIC",5,70,50,0.04,0.16,0.2,0.2,0,0
"360","LOO",5,70,50,0.04,0.16,0.2,0.2,0,0
"361","DIC",1,20,100,0.04,0.16,0.2,0.2,0,0.97
"362","WAIC",1,20,100,0.04,0.16,0.2,0.2,0,0
"363","LOO",1,20,100,0.04,0.16,0.2,0.2,0,0
"364","DIC",2,20,100,0.04,0.16,0.2,0.2,0,0
"365","WAIC",2,20,100,0.04,0.16,0.2,0.2,0,0.19
"366","LOO",2,20,100,0.04,0.16,0.2,0.2,0,0.19
"367","DIC",3,20,100,0.04,0.16,0.2,0.2,0,0.02
"368","WAIC",3,20,100,0.04,0.16,0.2,0.2,0,0
"369","LOO",3,20,100,0.04,0.16,0.2,0.2,0,0
"370","DIC",4,20,100,0.04,0.16,0.2,0.2,0,0
"371","WAIC",4,20,100,0.04,0.16,0.2,0.2,0,0.81
"372","LOO",4,20,100,0.04,0.16,0.2,0.2,0,0.81
"373","DIC",5,20,100,0.04,0.16,0.2,0.2,0,0.01
"374","WAIC",5,20,100,0.04,0.16,0.2,0.2,0,0
"375","LOO",5,20,100,0.04,0.16,0.2,0.2,0,0
"376","DIC",1,50,100,0.04,0.16,0.2,0.2,0,0.97
"377","WAIC",1,50,100,0.04,0.16,0.2,0.2,0,0
"378","LOO",1,50,100,0.04,0.16,0.2,0.2,0,0
"379","DIC",2,50,100,0.04,0.16,0.2,0.2,0,0
"380","WAIC",2,50,100,0.04,0.16,0.2,0.2,0,0
"381","LOO",2,50,100,0.04,0.16,0.2,0.2,0,0
"382","DIC",3,50,100,0.04,0.16,0.2,0.2,0,0.01
"383","WAIC",3,50,100,0.04,0.16,0.2,0.2,0,0
"384","LOO",3,50,100,0.04,0.16,0.2,0.2,0,0
"385","DIC",4,50,100,0.04,0.16,0.2,0.2,0,0
"386","WAIC",4,50,100,0.04,0.16,0.2,0.2,0,1
"387","LOO",4,50,100,0.04,0.16,0.2,0.2,0,1
"388","DIC",5,50,100,0.04,0.16,0.2,0.2,0,0.02
"389","WAIC",5,50,100,0.04,0.16,0.2,0.2,0,0
"390","LOO",5,50,100,0.04,0.16,0.2,0.2,0,0
"391","DIC",1,70,100,0.04,0.16,0.2,0.2,0,0.91
"392","WAIC",1,70,100,0.04,0.16,0.2,0.2,0,0
"393","LOO",1,70,100,0.04,0.16,0.2,0.2,0,0
"394","DIC",2,70,100,0.04,0.16,0.2,0.2,0,0
"395","WAIC",2,70,100,0.04,0.16,0.2,0.2,0,0
"396","LOO",2,70,100,0.04,0.16,0.2,0.2,0,0
"397","DIC",3,70,100,0.04,0.16,0.2,0.2,0,0
"398","WAIC",3,70,100,0.04,0.16,0.2,0.2,0,0
"399","LOO",3,70,100,0.04,0.16,0.2,0.2,0,0
"400","DIC",4,70,100,0.04,0.16,0.2,0.2,0,0
"401","WAIC",4,70,100,0.04,0.16,0.2,0.2,0,1
"402","LOO",4,70,100,0.04,0.16,0.2,0.2,0,1
"403","DIC",5,70,100,0.04,0.16,0.2,0.2,0,0.09
"404","WAIC",5,70,100,0.04,0.16,0.2,0.2,0,0
"405","LOO",5,70,100,0.04,0.16,0.2,0.2,0,0
"406","DIC",1,20,10,0.16,0.16,0.2,0.2,0,0.65
"407","WAIC",1,20,10,0.16,0.16,0.2,0.2,0,0
