"","N","J","G00","TAU0","G10","TAU1","G20","TAU2","G30","TAU3","RHO01","RHO02","RHO12","X1_mu","X2_mu","X3_mu","X1_sd","X2_sd","X3_sd","S","nchain","niter","burn","thin","marg","SIG2","Y.fixed","Y.rand","Y.int","Y.e","varY"
"36",70,100,1,0.16,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.04,0.16,0.6,1
"37",20,10,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.08,0.16,0.04,0.72,1
"38",50,10,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.08,0.16,0.04,0.72,1
"39",70,10,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.08,0.16,0.04,0.72,1
"40",20,50,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.08,0.16,0.04,0.72,1
"41",50,50,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.08,0.16,0.04,0.72,1
"42",70,50,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.08,0.16,0.04,0.72,1
"43",20,100,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.08,0.16,0.04,0.72,1
"44",50,100,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.08,0.16,0.04,0.72,1
"45",70,100,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.08,0.16,0.04,0.72,1
"46",20,10,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.08,0.16,0.16,0.6,1
"47",50,10,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.08,0.16,0.16,0.6,1
"48",70,10,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.08,0.16,0.16,0.6,1
"49",20,50,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.08,0.16,0.16,0.6,1
"50",50,50,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.08,0.16,0.16,0.6,1
"51",70,50,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.08,0.16,0.16,0.6,1
