"","N","J","G00","TAU0","G10","TAU1","G20","TAU2","G30","TAU3","RHO01","RHO02","RHO12","X1_mu","X2_mu","X3_mu","X1_sd","X2_sd","X3_sd","S","nchain","niter","burn","thin","marg","SIG2"
"198",70,100,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"199",20,10,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"200",50,10,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"201",70,10,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"202",20,50,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"203",50,50,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"204",70,50,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"205",20,100,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"206",50,100,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"207",70,100,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"208",20,10,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"209",50,10,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"210",70,10,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"211",20,50,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"212",50,50,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"213",70,50,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"214",20,100,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"215",50,100,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"216",70,100,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"217",20,10,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72
"218",50,10,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72
"219",70,10,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72
"220",20,50,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72
"221",50,50,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72
"222",70,50,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72
"223",20,100,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72
"224",50,100,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72
"225",70,100,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72
"226",20,10,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"227",50,10,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"228",70,10,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"229",20,50,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"230",50,50,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"231",70,50,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"232",20,100,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"233",50,100,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"234",70,100,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"235",20,10,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"236",50,10,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"237",70,10,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"238",20,50,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"239",50,50,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"240",70,50,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"241",20,100,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"242",50,100,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"243",70,100,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"244",20,10,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"245",50,10,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"246",70,10,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"247",20,50,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"248",50,50,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"249",70,50,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"250",20,100,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"251",50,100,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"252",70,100,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"253",20,10,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"254",50,10,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"255",70,10,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"256",20,50,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"257",50,50,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"258",70,50,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"259",20,100,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"260",50,100,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"261",70,100,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6
"262",20,10,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"263",50,10,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"264",70,10,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"265",20,50,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"266",50,50,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"267",70,50,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"268",20,100,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"269",50,100,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"270",70,100,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"271",20,10,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"272",50,10,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"273",70,10,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"274",20,50,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"275",50,50,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"276",70,50,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"277",20,100,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"278",50,100,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"279",70,100,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48
"280",20,10,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36
"281",50,10,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36
"282",70,10,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36
"283",20,50,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36
"284",50,50,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36
"285",70,50,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36
"286",20,100,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36
"287",50,100,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36
"288",70,100,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36
